체결시각,체결가,전일비,매도,매수,거래량,변동량
15:44,"150,000",100,"150,000",0,"119,996",1
15:40,"150,000",100,"150,000",0,"119,995",14
15:30,"150,000",100,"150,000","149,700","119,981","16,882"
15:19,"148,700","1,200","148,700","148,500","103,099",200
15:18,"148,600","1,300","148,700","148,400","102,899",220
15:17,"148,600","1,300","148,600","148,500","102,679",324
15:16,"148,400","1,500","148,500","148,300","102,355",146
15:15,"148,200","1,700","148,700","148,200","102,209",657
15:14,"148,300","1,600","148,400","148,200","101,552",216
15:13,"148,300","1,600","148,500","148,300","101,336",177
15:12,"148,300","1,600","148,500","148,300","101,159",189
15:11,"148,400","1,500","148,400","148,300","100,970",114
15:10,"148,500","1,400","148,700","148,500","100,856",308
15:09,"148,300","1,600","148,400","148,300","100,548",131
15:08,"148,400","1,500","148,400","148,300","100,417",219
15:07,"148,300","1,600","148,500","148,300","100,198",251
15:06,"148,400","1,500","148,500","148,400","99,947",276
15:05,"148,400","1,500","148,500","148,400","99,671",319
15:04,"148,500","1,400","148,600","148,500","99,352",135
15:03,"148,600","1,300","148,600","148,500","99,217",178
15:02,"148,400","1,500","148,600","148,500","99,039",419
15:01,"148,600","1,300","148,600","148,500","98,620",483
15:00,"148,700","1,200","148,800","148,700","98,137",231
14:59,"148,700","1,200","148,800","148,700","97,906",269
14:58,"148,500","1,400","148,600","148,500","97,637",150
14:57,"148,800","1,100","148,800","148,700","97,487",324
14:56,"148,800","1,100","148,900","148,800","97,163",178
14:55,"148,700","1,200","148,800","148,700","96,985",156
14:54,"148,900","1,000","148,900","148,400","96,829","1,170"
14:53,"148,500","1,400","148,500","148,400","95,659",347
14:52,"148,300","1,600","148,400","148,300","95,312",136
14:51,"148,400","1,500","148,400","148,300","95,176",134
14:50,"148,500","1,400","148,500","148,400","95,042",155
14:49,"148,600","1,300","148,600","148,300","94,887",393
14:48,"148,500","1,400","148,600","148,500","94,494",162
14:47,"148,500","1,400","148,500","148,400","94,332",313
14:46,"148,300","1,600","148,400","148,300","94,019",209
14:45,"148,500","1,400","148,600","148,500","93,810",317
14:44,"148,300","1,600","148,400","148,300","93,493",179
14:43,"148,400","1,500","148,500","148,400","93,314",186
14:42,"148,500","1,400","148,500","148,300","93,128",586
14:41,"148,400","1,500","148,400","148,200","92,542",128
14:40,"148,300","1,600","148,400","148,300","92,414",273
14:39,"148,400","1,500","148,500","148,400","92,141",205
14:38,"148,300","1,600","148,400","148,300","91,936","1,010"
14:37,"148,200","1,700","148,300","148,200","90,926",191
14:36,"148,300","1,600","148,400","148,300","90,735",167
14:35,"148,500","1,400","148,500","148,200","90,568",495
14:34,"148,200","1,700","148,300","148,200","90,073",158
14:33,"148,300","1,600","148,300","148,200","89,915",127
14:32,"148,300","1,600","148,400","148,300","89,788",269
14:31,"148,400","1,500","148,500","148,400","89,519",174
14:30,"148,400","1,500","148,600","148,400","89,345",252
14:29,"148,500","1,400","148,500","148,400","89,093",179
14:28,"148,500","1,400","148,600","148,500","88,914",107
14:27,"148,400","1,500","148,600","148,400","88,807",241
14:26,"148,400","1,500","148,500","148,400","88,566",177
14:25,"148,400","1,500","148,500","148,400","88,389",315
14:24,"148,300","1,600","148,400","148,200","88,074",218
14:23,"148,300","1,600","148,400","148,300","87,856",181
14:22,"148,500","1,400","148,500","148,400","87,675",138
14:21,"148,400","1,500","148,500","148,400","87,537",161
14:20,"148,600","1,300","148,600","148,300","87,376",320
14:19,"148,500","1,400","148,600","148,500","87,056",361
14:18,"148,700","1,200","148,700","148,400","86,695",763
14:17,"148,400","1,500","148,500","148,400","85,932",224
14:16,"148,400","1,500","148,700","148,400","85,708",596
14:15,"148,600","1,300","148,600","148,500","85,112",349
14:14,"148,600","1,300","148,700","148,600","84,763",227
14:13,"148,600","1,300","148,700","148,600","84,536",189
14:12,"148,600","1,300","148,700","148,600","84,347",238
14:11,"148,600","1,300","148,700","148,600","84,109",128
14:10,"148,700","1,200","148,800","148,700","83,981","1,168"
