체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,"149,900","3,200","149,900",0,"98,899",10
15:57,"149,900","3,200","149,900",0,"98,889",1
15:54,"149,900","3,200","149,900",0,"98,888",1
15:53,"149,900","3,200","149,900",0,"98,887",142
15:45,"149,900","3,200",0,0,"98,745",3
15:40,"149,900","3,200",0,0,"98,742",48
15:30,"149,900","3,200","149,900","149,400","98,694","21,734"
15:19,"148,900","2,200","148,900","148,800","76,960",256
15:18,"149,200","2,500","149,200","149,000","76,704",458
15:17,"148,900","2,200","149,000","148,900","76,246","2,731"
15:16,"148,800","2,100","148,800","148,700","73,515",415
15:15,"148,900","2,200","148,900","148,800","73,100",421
15:14,"148,800","2,100","148,900","148,800","72,679",207
15:13,"148,800","2,100","148,800","148,700","72,472",206
15:12,"148,700","2,000","148,800","148,700","72,266",185
15:11,"148,700","2,000","148,800","148,700","72,081","1,443"
15:10,"148,700","2,000","148,700","148,500","70,638",607
15:09,"148,500","1,800","148,500","148,400","70,031",109
15:08,"148,500","1,800","148,500","148,400","69,922",337
15:07,"148,300","1,600","148,300","148,200","69,585",164
15:06,"148,200","1,500","148,300","148,200","69,421",94
15:05,"148,300","1,600","148,300","148,200","69,327",151
15:04,"148,300","1,600","148,300","148,200","69,176",133
15:03,"148,300","1,600","148,400","148,300","69,043",124
15:02,"148,400","1,700","148,500","148,400","68,919",151
15:01,"148,400","1,700","148,500","148,400","68,768",794
15:00,"148,200","1,500","148,400","148,300","67,974",901
14:59,"148,400","1,700","148,500","148,400","67,073",482
14:58,"148,200","1,500","148,200","148,100","66,591",94
14:57,"148,100","1,400","148,200","148,100","66,497",319
14:56,"148,100","1,400","148,200","148,100","66,178",102
14:55,"148,200","1,500","148,300","148,100","66,076",930
14:54,"148,300","1,600","148,300","148,200","65,146",133
14:53,"148,000","1,300","148,100","148,000","65,013",282
14:52,"148,300","1,600","148,300","148,200","64,731",305
14:51,"148,400","1,700","148,500","148,400","64,426",369
14:50,"148,200","1,500","148,300","148,200","64,057",17
14:49,"148,200","1,500","148,300","148,200","64,040",338
14:48,"148,300","1,600","148,300","148,200","63,702","1,381"
14:47,"148,200","1,500","148,300","148,100","62,321",863
14:46,"148,300","1,600","148,500","148,300","61,458","2,772"
14:45,"148,200","1,500","148,300","148,200","58,686",433
14:44,"148,100","1,400","148,200","148,100","58,253",722
14:43,"148,200","1,500","148,300","148,200","57,531",399
14:42,"148,000","1,300","148,000","147,900","57,132",198
14:41,"148,100","1,400","148,200","148,100","56,934",531
14:40,"148,400","1,700","148,500","148,400","56,403","4,861"
14:39,"147,400",700,"147,400","147,300","51,542",327
14:38,"147,400",700,"147,400","147,100","51,215",764
14:37,"147,000",300,"147,100","147,000","50,451",27
