체결시각,체결가,전일비,매도,매수,거래량,변동량
15:56,"149,400","4,700","149,400",0,"146,796",27
15:52,"149,400","4,700","149,400",0,"146,769",10
15:41,"149,400","4,700","149,400",0,"146,759",2
15:40,"149,400","4,700",0,0,"146,757",72
15:30,"149,400","4,700","149,500","149,400","146,685","20,665"
15:19,"148,000","3,300","148,100","148,000","126,020",932
15:18,"148,100","3,400","148,100","148,000","125,088",586
15:17,"148,000","3,300","148,000","147,900","124,502",239
15:16,"147,900","3,200","148,000","147,900","124,263",194
15:15,"148,000","3,300","148,000","147,900","124,069",70
15:14,"148,000","3,300","148,000","147,900","123,999",437
15:13,"147,900","3,200","148,000","147,900","123,562",486
15:12,"148,000","3,300","148,000","147,900","123,076",110
15:11,"147,900","3,200","148,000","147,900","122,966",253
15:10,"148,000","3,300","148,000","147,900","122,713",267
15:09,"147,900","3,200","148,000","147,900","122,446",711
15:08,"148,000","3,300","148,000","147,900","121,735",818
15:07,"147,900","3,200","147,900","147,800","120,917",178
15:06,"147,900","3,200","147,900","147,800","120,739",118
15:05,"147,900","3,200","147,900","147,800","120,621",271
15:04,"147,900","3,200","147,900","147,800","120,350",148
15:03,"147,900","3,200","147,900","147,800","120,202",52
15:02,"147,800","3,100","147,900","147,800","120,150",73
15:01,"147,900","3,200","147,900","147,800","120,077","1,081"
15:00,"147,900","3,200","148,000","147,900","118,996",143
14:59,"148,000","3,300","148,000","147,900","118,853",517
14:58,"148,100","3,400","148,100","148,000","118,336",244
14:57,"148,000","3,300","148,100","148,000","118,092",206
14:56,"148,000","3,300","148,100","148,000","117,886",547
14:55,"148,000","3,300","148,000","147,900","117,339",59
14:54,"147,900","3,200","148,000","147,900","117,280",669
14:53,"148,100","3,400","148,100","148,000","116,611",144
14:52,"148,100","3,400","148,100","148,000","116,467",166
14:51,"148,000","3,300","148,000","147,900","116,301",791
14:50,"148,000","3,300","148,000","147,900","115,510",115
14:49,"148,000","3,300","148,000","147,900","115,395",66
14:48,"147,900","3,200","148,000","147,900","115,329",97
14:47,"148,000","3,300","148,000","147,900","115,232",30
14:46,"147,900","3,200","148,000","147,900","115,202",298
14:45,"147,900","3,200","147,900","147,800","114,904",64
14:44,"147,900","3,200","147,900","147,800","114,840",595
14:43,"147,900","3,200","148,000","147,900","114,245","1,000"
14:42,"147,900","3,200","148,000","147,900","113,245",765
14:41,"148,000","3,300","148,100","148,000","112,480",485
14:40,"148,000","3,300","148,100","148,000","111,995",278
14:39,"148,100","3,400","148,100","148,000","111,717",356
14:38,"148,100","3,400","148,100","148,000","111,361",207
14:37,"148,000","3,300","148,100","148,000","111,154",89
14:36,"148,000","3,300","148,100","148,000","111,065",195
14:35,"148,000","3,300","148,000","147,900","110,870",602
14:34,"147,900","3,200","147,900","147,800","110,268",68
14:33,"147,900","3,200","147,900","147,800","110,200",118
14:32,"147,800","3,100","147,900","147,800","110,082",239
14:31,"147,800","3,100","147,900","147,800","109,843",149
14:30,"147,900","3,200","148,000","147,900","109,694",201
14:29,"147,900","3,200","148,000","147,900","109,493",834
14:28,"148,000","3,300","148,000","147,900","108,659","1,219"
14:27,"147,900","3,200","147,900","147,800","107,440",100
14:26,"147,800","3,100","147,900","147,800","107,340",78
14:25,"147,800","3,100","147,900","147,800","107,262",249
14:24,"148,000","3,300","148,000","147,700","107,013",690
14:23,"147,800","3,100","147,900","147,800","106,323",702
14:22,"147,800","3,100","147,800","147,700","105,621",35
14:21,"147,800","3,100","147,800","147,700","105,586",56
14:20,"147,700","3,000","147,800","147,700","105,530","1,195"
14:19,"147,800","3,100","147,800","147,700","104,335",640
14:18,"147,700","3,000","147,700","147,600","103,695",112
14:17,"147,600","2,900","147,700","147,600","103,583",209
14:16,"147,500","2,800","147,600","147,500","103,374",165
14:15,"147,600","2,900","147,600","147,500","103,209",354
14:14,"147,700","3,000","147,700","147,600","102,855",209
14:13,"147,600","2,900","147,600","147,500","102,646",344
14:12,"147,700","3,000","147,700","147,600","102,302",52
14:11,"147,700","3,000","147,700","147,600","102,250",361
14:10,"147,400","2,700","147,400","147,300","101,889",164
14:09,"147,500","2,800","147,500","147,400","101,725",309
14:08,"147,400","2,700","147,400","147,300","101,416",442
14:07,"147,600","2,900","147,600","147,500","100,974",402
14:06,"147,500","2,800","147,500","147,400","100,572",782
14:05,"147,700","3,000","147,800","147,700","99,790",201
14:04,"147,700","3,000","147,800","147,700","99,589",253
14:03,"147,600","2,900","147,700","147,600","99,336",120
14:02,"147,600","2,900","147,700","147,600","99,216",268
14:01,"147,500","2,800","147,600","147,500","98,948",26
14:00,"147,600","2,900","147,500","147,400","98,922",792
13:59,"147,700","3,000","147,700","147,600","98,130",904
13:58,"147,900","3,200","148,000","147,900","97,226","2,072"
13:57,"147,800","3,100","147,900","147,800","95,154",509
13:56,"147,800","3,100","147,800","147,700","94,645",171
13:55,"147,800","3,100","147,800","147,700","94,474",492
13:54,"147,700","3,000","147,700","147,600","93,982",289
13:53,"147,700","3,000","147,700","147,500","93,693",580
13:52,"147,600","2,900","147,600","147,500","93,113",693
13:51,"147,500","2,800","147,500","147,400","92,420",283
13:50,"147,500","2,800","147,500","147,400","92,137","1,539"
13:49,"147,300","2,600","147,400","147,300","90,598",253
13:48,"147,300","2,600","147,400","147,300","90,345",269
13:47,"147,400","2,700","147,400","147,300","90,076",54
13:46,"147,400","2,700","147,400","147,300","90,022",309
13:45,"147,300","2,600","147,400","147,300","89,713",470
13:44,"147,300","2,600","147,400","147,300","89,243","1,625"
13:43,"147,100","2,400","147,100","147,000","87,618","1,656"
13:42,"147,300","2,600","147,300","147,200","85,962",110
13:41,"147,200","2,500","147,300","147,200","85,852",30
13:40,"147,200","2,500","147,300","147,200","85,822","1,126"
13:39,"147,100","2,400","147,100","147,000","84,696",160
13:38,"147,000","2,300","147,100","147,000","84,536",31
13:37,"147,100","2,400","147,100","147,000","84,505",114
13:36,"147,100","2,400","147,100","147,000","84,391",149
13:35,"147,000","2,300","147,100","147,000","84,242",95
13:34,"147,000","2,300","147,100","147,000","84,147",510
13:33,"147,000","2,300","147,100","147,000","83,637",674
13:32,"146,900","2,200","147,000","146,900","82,963",58
13:31,"146,900","2,200","147,000","146,900","82,905",187
13:30,"147,000","2,300","147,000","146,900","82,718",270
13:29,"146,700","2,000","146,900","146,700","82,448",392
13:28,"146,900","2,200","147,000","146,900","82,056",268
13:27,"146,800","2,100","146,900","146,800","81,788",405
13:26,"146,600","1,900","146,700","146,600","81,383",449
13:25,"146,700","2,000","146,700","146,600","80,934",268
13:24,"146,500","1,800","146,600","146,500","80,666",254
13:23,"146,600","1,900","146,700","146,600","80,412",341
13:22,"146,700","2,000","146,800","146,700","80,071",779
13:21,"146,900","2,200","147,000","146,900","79,292","1,267"
13:20,"147,100","2,400","147,100","147,000","78,025",159
13:19,"147,000","2,300","147,100","147,000","77,866",220
13:18,"147,000","2,300","147,100","147,000","77,646",326
13:17,"147,100","2,400","147,100","147,000","77,320",109
13:16,"147,000","2,300","147,100","147,000","77,211",245
13:15,"147,100","2,400","147,100","147,000","76,966",104
13:14,"147,100","2,400","147,100","147,000","76,862",43
13:13,"147,100","2,400","147,100","147,000","76,819",633
