체결시각,체결가,전일비,매도,매수,거래량,변동량
15:40,"25,900",100,0,0,"17,818",20
15:30,"25,900",100,0,0,"17,798",308
15:19,"25,900",100,"25,900","25,800","17,490",66
15:18,"25,900",100,"25,900","25,800","17,424",50
15:17,"25,800",0,"25,900","25,800","17,374",16
15:16,"25,800",0,"25,900","25,800","17,358",239
15:15,"25,900",100,"25,900","25,800","17,119",3
15:14,"25,800",0,"25,900","25,800","17,116",15
15:13,"25,800",0,"25,900","25,800","17,101",3
15:12,"25,800",0,"25,900","25,800","17,098",517
15:11,"25,900",100,"25,900","25,800","16,581",8
15:10,"25,850",50,"25,900","25,800","16,573",624
15:09,"25,850",50,"25,900","25,850","15,949",3
15:08,"25,850",50,"25,900","25,850","15,946",3
15:07,"25,850",50,"25,900","25,850","15,943",4
15:06,"25,850",50,"25,900","25,850","15,939",52
15:05,"25,850",50,"25,900","25,850","15,887",6
15:04,"25,850",50,"25,900","25,850","15,881",119
15:03,"25,850",50,"25,900","25,850","15,762",40
15:02,"25,850",50,"25,900","25,850","15,722",18
15:01,"25,850",50,"25,900","25,850","15,704",2
15:00,"25,850",50,"25,900","25,850","15,702",9
14:57,"25,850",50,"25,900","25,850","15,693",51
14:56,"25,800",0,"25,900","25,800","15,642",1
14:55,"25,800",0,"25,900","25,800","15,641",10
14:54,"25,800",0,"25,900","25,800","15,631",26
14:52,"25,900",100,"25,900","25,800","15,605",2
14:45,"25,900",100,"25,900","25,800","15,603",1
14:44,"25,800",0,"25,850","25,750","15,602","1,485"
14:41,"25,850",50,"25,850","25,800","14,117",431
14:40,"25,850",50,"25,900","25,850","13,686",3
14:39,"25,900",100,"25,900","25,850","13,683",10
14:38,"25,900",100,"25,900","25,850","13,673",46
14:35,"25,950",150,"25,950","25,850","13,627",4
14:30,"25,950",150,"25,950","25,850","13,623",1
14:28,"25,950",150,"25,950","25,850","13,622",1
14:27,"25,900",100,"25,950","25,850","13,621",200
14:26,"25,900",100,"25,950","25,900","13,421",200
14:25,"25,900",100,"25,950","25,850","13,221",130
14:24,"25,900",100,"25,900","25,850","13,091",70
14:22,"25,900",100,"25,950","25,900","13,021",20
14:20,"25,900",100,"25,950","25,900","13,001",10
14:12,"25,850",50,"25,950","25,850","12,991",2
14:11,"25,850",50,"25,900","25,800","12,989",3
14:10,"25,850",50,"25,850","25,800","12,986",163
14:09,"25,850",50,"25,900","25,850","12,823",200
14:07,"25,850",50,"25,950","25,850","12,623",50
14:06,"25,900",100,"25,950","25,850","12,573",5
14:04,"25,850",50,"25,950","25,850","12,568",150
14:01,"25,900",100,"25,950","25,900","12,418",16
13:55,"25,950",150,"25,950","25,900","12,402",14
13:54,"25,950",150,"25,950","25,900","12,388",7
13:53,"25,950",150,"25,950","25,900","12,381",7
13:52,"25,950",150,"25,950","25,900","12,374",10
13:51,"25,950",150,"25,950","25,900","12,364",7
13:50,"25,950",150,"25,950","25,850","12,357",10
13:49,"25,950",150,"25,950","25,850","12,347",10
13:48,"25,950",150,"25,950","25,850","12,337",224
13:47,"25,950",150,"25,950","25,900","12,113",107
13:45,"25,900",100,"25,900","25,850","12,006",1
13:44,"25,900",100,"25,900","25,850","12,005",31
13:42,"25,900",100,"25,950","25,900","11,974",68
13:39,"25,950",150,"25,950","25,900","11,906",5
13:38,"25,950",150,"25,950","25,900","11,901",1
13:37,"25,900",100,"25,950","25,900","11,900",100
13:35,"25,900",100,"25,950","25,900","11,800",179
13:33,"25,850",50,"25,850","25,800","11,621",1
13:31,"25,800",0,"25,850","25,800","11,620",130
13:30,"25,850",50,"25,850","25,800","11,490",1
13:28,"25,850",50,"25,850","25,800","11,489",16
13:27,"25,850",50,"25,900","25,850","11,473",337
13:26,"25,800",0,"25,850","25,800","11,136",239
13:24,"25,800",0,"25,800","25,750","10,897",110
13:21,"25,800",0,"25,800","25,750","10,787",63
13:19,"25,800",0,"25,800","25,750","10,724",100
13:17,"25,800",0,"25,800","25,750","10,624",1
13:12,"25,800",0,"25,800","25,750","10,623",6
13:10,"25,800",0,"25,800","25,750","10,617",1
13:09,"25,800",0,"25,800","25,750","10,616",1
13:07,"25,800",0,"25,800","25,750","10,615",372
13:06,"25,800",0,"25,800","25,750","10,243",11
13:00,"25,800",0,"25,800","25,750","10,232",1
12:56,"25,800",0,"25,800","25,750","10,231",1
12:55,"25,750",50,"25,800","25,750","10,230",90
12:53,"25,800",0,"25,800","25,750","10,140",14
12:48,"25,750",50,"25,800","25,700","10,126",114
12:45,"25,750",50,"25,750","25,700","10,012",38
12:40,"25,750",50,"25,750","25,700","9,974",52
12:38,"25,750",50,"25,750","25,700","9,922",40
12:37,"25,750",50,"25,750","25,700","9,882",1
12:36,"25,750",50,"25,750","25,700","9,881",2
12:35,"25,750",50,"25,750","25,700","9,879",1
12:34,"25,750",50,"25,750","25,700","9,878",100
12:33,"25,750",50,"25,750","25,700","9,778",2
12:32,"25,700",100,"25,750","25,700","9,776",30
12:30,"25,700",100,"25,750","25,700","9,746",70
12:29,"25,800",0,"25,800","25,700","9,676",18
12:28,"25,800",0,"25,800","25,700","9,658",60
12:27,"25,700",100,"25,800","25,700","9,598",104
12:18,"25,800",0,"25,800","25,700","9,494",29
12:11,"25,800",0,"25,800","25,700","9,465",10
12:10,"25,800",0,"25,800","25,700","9,455",1
12:06,"25,800",0,"25,800","25,700","9,454",3
12:03,"25,800",0,"25,800","25,700","9,451",100
12:02,"25,750",50,"25,800","25,700","9,351",1
12:01,"25,750",50,"25,750","25,700","9,350",117
11:55,"25,750",50,"25,800","25,750","9,233",1
11:51,"25,750",50,"25,750","25,700","9,232",46
11:50,"25,750",50,"25,750","25,700","9,186",5
11:48,"25,750",50,"25,750","25,700","9,181",100
11:42,"25,750",50,"25,750","25,700","9,081",5
11:41,"25,750",50,"25,750","25,700","9,076",7
11:36,"25,750",50,"25,750","25,700","9,069",6
11:33,"25,750",50,"25,750","25,700","9,063",4
11:29,"25,750",50,"25,750","25,700","9,059",1
11:28,"25,750",50,"25,750","25,700","9,058",38
11:25,"25,700",100,"25,750","25,700","9,020",5
11:22,"25,700",100,"25,750","25,700","9,015",5
11:21,"25,700",100,"25,750","25,700","9,010",4
11:19,"25,700",100,"25,750","25,700","9,006",1
11:18,"25,700",100,"25,750","25,700","9,005",278
11:17,"25,750",50,"25,750","25,700","8,727",88
11:16,"25,750",50,"25,750","25,700","8,639",1
11:12,"25,750",50,"25,750","25,700","8,638",4
11:10,"25,750",50,"25,750","25,700","8,634",1
11:06,"25,700",100,"25,750","25,700","8,633",22
11:05,"25,700",100,"25,750","25,700","8,611",25
11:04,"25,700",100,"25,750","25,700","8,586",9
11:03,"25,700",100,"25,750","25,700","8,577",79
10:59,"25,750",50,"25,750","25,700","8,498",79
10:58,"25,700",100,"25,750","25,700","8,419",2
10:56,"25,700",100,"25,750","25,700","8,417",150
10:55,"25,700",100,"25,750","25,700","8,267",178
10:54,"25,750",50,"25,750","25,700","8,089",1
10:52,"25,700",100,"25,750","25,700","8,088",223
10:50,"25,700",100,"25,750","25,700","7,865",65
10:48,"25,750",50,"25,750","25,700","7,800",1
10:47,"25,750",50,"25,750","25,700","7,799",426
10:46,"25,750",50,"25,850","25,700","7,373",350
10:45,"25,750",50,"25,850","25,750","7,023",40
10:44,"25,800",0,"25,850","25,800","6,983",97
10:43,"25,800",0,"25,800","25,750","6,886",4
10:37,"25,800",0,"25,850","25,750","6,882",79
10:35,"25,850",50,"25,850","25,800","6,803",105
10:34,"25,800",0,"25,800","25,750","6,698",315
10:33,"25,800",0,"25,850","25,750","6,383",200
10:32,"25,800",0,"25,850","25,750","6,183",200
10:31,"25,800",0,"25,850","25,750","5,983",81
10:29,"25,800",0,"25,850","25,750","5,902",70
10:28,"25,800",0,"25,850","25,800","5,832",89
10:25,"25,800",0,"25,800","25,750","5,743",229
10:24,"25,800",0,"25,800","25,750","5,514",59
