체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,"39,200",150,"39,200",0,"1,119,008",4
15:57,"39,200",150,"39,200",0,"1,119,004",3
15:54,"39,200",150,"39,200",0,"1,119,001",17
15:53,"39,200",150,"39,200",0,"1,118,984",52
15:52,"39,200",150,"39,200",0,"1,118,932",111
15:51,"39,200",150,0,"39,200","1,118,821",65
15:50,"39,200",150,"39,200",0,"1,118,756",17
15:49,"39,200",150,"39,200",0,"1,118,739",2
15:48,"39,200",150,"39,200",0,"1,118,737",2
15:47,"39,200",150,0,0,"1,118,735",2
15:46,"39,200",150,"39,200",0,"1,118,733",71
15:45,"39,200",150,0,0,"1,118,662",16
15:44,"39,200",150,"39,200",0,"1,118,646",6
15:43,"39,200",150,"39,200",0,"1,118,640",7
15:42,"39,200",150,"39,200",0,"1,118,633",49
15:41,"39,200",150,"39,200",0,"1,118,584",77
15:40,"39,200",150,"39,200",0,"1,118,507",776
15:30,"39,200",150,"39,250","39,200","1,117,731","198,832"
15:19,"39,200",150,"39,250","39,200","918,899","1,817"
15:18,"39,250",200,"39,300","39,250","917,082","2,768"
15:17,"39,250",200,"39,300","39,250","914,314","4,583"
15:16,"39,250",200,"39,250","39,200","909,731","14,611"
15:15,"39,100",50,"39,150","39,100","895,120","4,683"
15:14,"39,200",150,"39,200","39,150","890,437","1,518"
15:13,"39,150",100,"39,200","39,150","888,919","2,914"
15:12,"39,150",100,"39,200","39,150","886,005","2,023"
15:11,"39,200",150,"39,200","39,150","883,982","2,825"
15:10,"39,150",100,"39,200","39,150","881,157","3,759"
15:09,"39,150",100,"39,200","39,150","877,398","2,866"
15:08,"39,150",100,"39,200","39,150","874,532","2,289"
15:07,"39,150",100,"39,200","39,150","872,243","6,395"
15:06,"39,200",150,"39,200","39,150","865,848","3,170"
15:05,"39,200",150,"39,200","39,150","862,678","2,069"
15:04,"39,150",100,"39,200","39,150","860,609",478
15:03,"39,200",150,"39,200","39,150","860,131","1,228"
15:02,"39,150",100,"39,200","39,100","858,903","2,873"
15:01,"39,200",150,"39,200","39,150","856,030","4,193"
15:00,"39,300",250,"39,300","39,250","851,837","21,511"
14:59,"39,300",250,"39,350","39,300","830,326",799
14:58,"39,350",300,"39,350","39,300","829,527","1,908"
14:57,"39,300",250,"39,350","39,300","827,619","8,365"
14:56,"39,300",250,"39,300","39,250","819,254","6,745"
14:55,"39,200",150,"39,250","39,200","812,509",751
14:54,"39,250",200,"39,250","39,200","811,758","1,772"
14:53,"39,250",200,"39,250","39,200","809,986","1,255"
14:52,"39,250",200,"39,250","39,200","808,731","5,611"
14:51,"39,150",100,"39,200","39,150","803,120","12,273"
14:50,"39,100",50,"39,150","39,100","790,847","1,609"
14:49,"39,100",50,"39,150","39,100","789,238","2,247"
14:48,"39,100",50,"39,150","39,100","786,991","2,101"
14:47,"39,100",50,"39,150","39,100","784,890",987
14:46,"39,150",100,"39,150","39,100","783,903","2,317"
14:45,"39,100",50,"39,150","39,100","781,586","9,344"
14:44,"39,050",0,"39,050","39,000","772,242","4,930"
14:43,"39,050",0,"39,100","39,050","767,312","4,341"
14:42,"39,000",50,"39,050","39,000","762,971","17,192"
14:41,"39,050",0,"39,100","39,050","745,779","3,653"
14:40,"39,050",0,"39,100","39,050","742,126",697
14:39,"39,050",0,"39,100","39,050","741,429","1,766"
14:38,"39,050",0,"39,100","39,050","739,663","1,484"
14:37,"39,050",0,"39,100","39,050","738,179","23,236"
