체결시각,체결가,전일비,매도,매수,거래량,변동량
15:44,"48,300",500,0,"48,300","73,842",200
15:40,"48,300",500,0,0,"73,642",69
15:30,"48,300",500,"48,350","48,300","73,573","1,738"
15:19,"48,400",400,"48,400","48,350","71,835",110
15:18,"48,400",400,"48,400","48,350","71,725",69
15:17,"48,350",450,"48,400","48,350","71,656",112
15:16,"48,400",400,"48,400","48,350","71,544",234
15:15,"48,400",400,"48,400","48,350","71,310",529
15:14,"48,350",450,"48,350","48,300","70,781",564
15:13,"48,300",500,"48,350","48,300","70,217",167
15:12,"48,200",600,"48,300","48,250","70,050",63
15:11,"48,250",550,"48,350","48,200","69,987",460
15:10,"48,350",450,"48,350","48,250","69,527",435
15:09,"48,350",450,"48,350","48,300","69,092",103
15:08,"48,350",450,"48,350","48,300","68,989",45
15:07,"48,300",500,"48,350","48,300","68,944",64
15:06,"48,300",500,"48,350","48,300","68,880",17
15:05,"48,300",500,"48,350","48,300","68,863",223
15:04,"48,350",450,"48,350","48,300","68,640",49
15:03,"48,350",450,"48,400","48,300","68,591",44
15:02,"48,350",450,"48,400","48,350","68,547",336
15:01,"48,450",350,"48,450","48,400","68,211",74
15:00,"48,450",350,"48,450","48,400","68,137",253
14:59,"48,350",450,"48,350","48,300","67,884",9
14:58,"48,350",450,"48,400","48,300","67,875",83
14:57,"48,350",450,"48,350","48,300","67,792",140
14:56,"48,350",450,"48,400","48,350","67,652",71
14:55,"48,400",400,"48,400","48,300","67,581",488
14:54,"48,400",400,"48,400","48,350","67,093",258
14:53,"48,400",400,"48,400","48,300","66,835",102
14:52,"48,300",500,"48,350","48,300","66,733",104
14:51,"48,350",450,"48,350","48,300","66,629",290
14:50,"48,350",450,"48,400","48,350","66,339",83
14:49,"48,350",450,"48,400","48,350","66,256",45
14:48,"48,400",400,"48,400","48,350","66,211",93
14:47,"48,400",400,"48,400","48,350","66,118",61
14:46,"48,350",450,"48,400","48,350","66,057",120
14:45,"48,400",400,"48,400","48,350","65,937",186
14:44,"48,450",350,"48,450","48,400","65,751",41
14:43,"48,400",400,"48,400","48,350","65,710",122
14:42,"48,450",350,"48,450","48,400","65,588",74
14:41,"48,450",350,"48,450","48,400","65,514",109
14:40,"48,450",350,"48,450","48,400","65,405",69
14:39,"48,400",400,"48,450","48,400","65,336",69
14:38,"48,350",450,"48,400","48,350","65,267",281
14:37,"48,400",400,"48,450","48,400","64,986",57
14:36,"48,450",350,"48,450","48,400","64,929",35
14:35,"48,450",350,"48,450","48,400","64,894",150
14:34,"48,400",400,"48,450","48,350","64,744",587
14:33,"48,350",450,"48,350","48,300","64,157","2,547"
14:32,"48,450",350,"48,450","48,400","61,610",79
14:31,"48,450",350,"48,450","48,400","61,531",178
14:30,"48,500",300,"48,500","48,450","61,353",175
14:29,"48,500",300,"48,500","48,400","61,178",70
14:28,"48,500",300,"48,500","48,450","61,108",138
14:27,"48,450",350,"48,500","48,450","60,970",62
14:26,"48,500",300,"48,500","48,400","60,908",51
14:25,"48,550",250,"48,550","48,500","60,857",119
14:24,"48,550",250,"48,550","48,500","60,738",97
14:23,"48,550",250,"48,550","48,500","60,641",34
14:22,"48,550",250,"48,550","48,500","60,607",123
14:21,"48,550",250,"48,600","48,550","60,484",97
14:20,"48,600",200,"48,600","48,550","60,387",78
14:19,"48,600",200,"48,600","48,550","60,309",128
14:18,"48,600",200,"48,600","48,550","60,181",62
14:17,"48,550",250,"48,550","48,400","60,119",112
14:16,"48,500",300,"48,550","48,450","60,007",30
14:15,"48,500",300,"48,550","48,500","59,977",109
14:14,"48,500",300,"48,550","48,500","59,868",59
14:13,"48,600",200,"48,650","48,550","59,809",61
14:12,"48,600",200,"48,650","48,550","59,748",175
14:11,"48,650",150,"48,700","48,600","59,573",31
14:10,"48,650",150,"48,650","48,550","59,542",196
14:09,"48,550",250,"48,600","48,550","59,346",2
14:08,"48,550",250,"48,550","48,450","59,344",95
14:07,"48,500",300,"48,550","48,450","59,249",173
14:06,"48,500",300,"48,550","48,500","59,076",715
14:05,"48,550",250,"48,550","48,500","58,361",26
14:04,"48,500",300,"48,550","48,500","58,335",204
14:03,"48,550",250,"48,550","48,500","58,131",87
14:02,"48,550",250,"48,550","48,500","58,044",38
14:01,"48,550",250,"48,550","48,500","58,006",80
14:00,"48,550",250,"48,550","48,500","57,926",42
13:59,"48,550",250,"48,550","48,500","57,884",38
13:58,"48,550",250,"48,550","48,500","57,846",497
13:57,"48,500",300,"48,500","48,450","57,349",45
13:56,"48,500",300,"48,500","48,450","57,304",817
13:55,"48,500",300,"48,500","48,450","56,487",257
13:54,"48,450",350,"48,500","48,450","56,230",44
